Country,E,N,T,P,A
Austria,46.52,67.76,41.45,57.53,42.33
Belgium,49.89,64.69,37.09,58.29,41.87
Czechia,43.26,65.29,45.43,57.34,41.17
Denmark,49.29,63.03,36.77,56.44,45.99
Estonia,43.08,64.43,42.04,57.46,38.92
Finland,40.7,62.5,40.42,58.84,42.04
France,49,61.29,42.05,56.78,42.95
Germany,43.83,65.62,42.1,56.46,42
Greece,50.03,66.47,45.85,52.31,39.39
Hungary,44.93,67.01,45.6,54.2,40.69
Iceland,48.61,65.86,33.9,59.52,42.84
Italy,43.06,70.17,43.73,54.27,36.49
Latvia,42.02,63.53,48.57,58.81,37.81
Lithuania,38.81,66.22,49.61,59.86,38.2
Luxembourg,49.61,61.09,40.47,53.41,44.54
Malta,48.43,63.86,37.53,53.67,37.55
Netherlands,52.07,62.22,35.55,56.66,46.99
Norway,48.46,61.39,37.66,55.61,45.25
Poland,40.34,67.46,51.16,57.01,38.43
Portugal,40.7,67.83,37.41,57.99,38.01
Slovakia,42.97,65.98,45.92,54.8,42.56
Slovenia,47.51,64.67,42.51,55.38,41.66
Spain,50.45,67.44,37.18,57.02,43.7
Sweden,49.95,60.29,39.24,55.35,46.1
Switzerland,53.6,62.06,39.56,53.86,47.65
Canada,47.53,59.25,34.44,52.48,40.91
USA,49.6,59.21,35.2,52.96,42.84
